source_database,source_file,record_type,title,abstract,journal,year,authors,doi,pmid,accession_number,query_id
wos,WoS-queryA2.ris,JOUR,Validation of the Padova Prognostic Score for Colitis in Predicting Long-Term Outcome After Restorative Proctocolectomy,"Background: In 10%-20% of cases it is impossible to make a differential diagnosis between ulcerative colitis and Crohn's colitis. A 50% failure rate of J pouch ilea-anal anastomosis is observed in Crohn's colitis. In 2009, we created the Padua Prognostic Score for Colitis (PPSC) to predict the long-term clinical and functional outcome and quality of life of patients undergoing restorative proctocolectomy with J pouch. The aim of the present study is to establish and validate the accuracy of a prognostic score for chronic inflammatory bowel diseases (IBD). Patient population and methods: The PPSC was created in 2009 by integrating clinical and histological information of patients undergoing RPC. It included preoperative perianal abscess or fistula, rectal sparing, terminal ileum involvement, skip lesions and histological diagnosis of indeterminate colitis or Crohn's colitis on the operative specimen. The validity of this score was tested in predicting postoperative abscess or fistula, anal canal disease, pouchitis, pouch failure and new diagnosis of Crohn's disease. Correlation analysis, ROC curve analysis and survival analysis were used to validate the PPSC in a different cohort from the previous one. Results: We retrospectively enrolled in this study 138 consecutive patients undergoing CPR for ulcerative colitis (n = 127) or indeterminate colitis (n = 11) in our institution since 2005 to 2020. In this period, we observed 11 patients with postoperative abscess or fistula, 3 with anal canal disease, 40 with pouchitis, 6 with pouch failure and 6 with new diagnosis of Crohn's disease. In the new validation cohort, the PPSC confirmed to have a good accuracy in predicting the onset of postoperative CD (AUC = 74.5%, p = 0.018). Kaplan Meier curves demonstrate how a PPSC over 1 can reliably predicts the long-term onset of, pouchitis (p = 0.002) and anal abscess or fistulae (p = 0.04). Conclusions: In this validation study we confirmed the accuracy of the PPSC in predicting postoperative fistulas or abscesses and pouchitis. Therefore, we believe that in clinical practice patients with a PPSC score greater than 1 should be warned of this risk of possible Crohn's disease diagnosis and pouch failure.",FRONTIERS IN SURGERY,2022,"Angriman, I; Colangelo, A; Mescoli, C; Fassan, M; D'Inca, R; Savarino, E; Pucciarelli, S; Bardini, R; Ruffolo, C; Scarpa, M",10.3389/fsurg.2022.911044,,WOS:000838163200001,A
wos,WoS-queryA2.ris,JOUR,Neuroprotective-Neurorestorative Effects Induced by Progesterone on Global Cerebral Ischemia: A Narrative Review,"Progesterone (P4) is a neuroactive hormone having pleiotropic effects, supporting its pharmacological potential to treat global (cardiac-arrest-related) cerebral ischemia, a condition associated with an elevated risk of dementia. This review examines the current biochemical, morphological, and functional evidence showing the neuroprotective/neurorestorative effects of P4 against global cerebral ischemia (GCI). Experimental findings show that P4 may counteract pathophysiological mechanisms and/or regulate endogenous mechanisms of plasticity induced by GCI. According to this, P4 treatment consistently improves the performance of cognitive functions, such as learning and memory, impaired by GCI. This functional recovery is related to the significant morphological preservation of brain structures vulnerable to ischemia when the hormone is administered before and/or after a moderate ischemic episode; and with long-term adaptive plastic restoration processes of altered brain morphology when treatment is given after an episode of severe ischemia. The insights presented here may be a guide for future basic research, including the study of P4 administration schemes that focus on promoting its post-ischemia neurorestorative effect. Furthermore, considering that functional recovery is a desired endpoint of pharmacological strategies in the clinic, they could support the study of P4 treatment for decreasing dementia in patients who have suffered an episode of GCI.",PHARMACEUTICS,2023,"Montes, P; Ortíz-Islas, E; Rodríguez-Pérez, C; Ruiz-Sánchez, E; Silva-Adaya, D; Pichardo-Rojas, P; Campos-Peña, V",10.3390/pharmaceutics15122697,,WOS:001131296200001,A
wos,WoS-queryA2.ris,JOUR,The evolution of digital health technologies in cardiovascular disease research,"When implemented in practice, digital technologies have shown improvements in morbidity and mortality outcomes in patients with cardiovascular disease (CVD). For scholars, research into digital technologies in cardiovascular care has been relatively recent, thus it is important to understand the history of digital health technology in cardiovascular research-its emergence, rate of growth, hot topics, and its temporal evolution. The aim of this study was to analyse more than 16,000 articles in this domain based on their scientometric indicators. Web of Science (WoS) Core Collection was accessed and searched at several levels, including titles, abstracts, keywords, authors, sources and individual articles. Analysis examined the temporal shifts in research and scholarly focus based on keywords, networks of collaboration, topical divisions in relation to digital technologies, and influential publications. Findings showed this research area is growing exponentially. Co-citation analysis revealed twenty prominent research streams and identified variation in the magnitude of activities in each stream. A recent emergence of research activities in digital technology in cardiovascular rehabilitation (CR), out-of-hospital cardiac arrest (OHCA), and arrythmia research was also demonstrated. Conversely, wearable technologies, activity tracking and electronic medical records research are now past their peak of reported research activity. With increasing amounts of novel technologies becoming available and more patients taking part in remote health care monitoring, further evaluation and research into digital technologies, including their long-term effectiveness, is needed. Furthermore, emerging technologies, which are evaluated and/or validated should be considered for implementation into clinical practice as treatment and prevention modalities for CVD.",NPJ DIGITAL MEDICINE,2023,"Zwack, CC; Haghani, M; Hollings, M; Zhang, L; Gauci, S; Gallagher, R; Redfern, J",10.1038/s41746-022-00734-2,,WOS:000907104700001,A
wos,WoS-queryA2.ris,JOUR,"Knowledge, attitude, and proficiency of healthcare providers in cardiopulmonary resuscitation in a public primary healthcare setting in Qatar","IntroductionEarly and effective cardiopulmonary resuscitation (CPR) increases both survival rate and post-cardiac arrest quality of life. This study aims to assess the current knowledge and ability of physicians and nurses in health centers (HCs) operated by the Primary Health Care Corporation (PHCC) in Doha, Qatar, to perform CPR. MethodologyThis study consists of two parts. The first part is a descriptive cross-sectional survey using an online form targeting physicians and nurses working in all HCs to assess their CPR knowledge and attitude. The second part is a direct observation of CPR drills to evaluate the skills and competencies of code blue team members in a convenient sample of 14 HCs. A multivariate model was employed to test the independent effect of explanatory variables on the total knowledge score. ResultsA total of 569 physicians and nurses responded to the survey. Only one-half (48.7%) formally received training on basic life support within the last year. Furthermore, 62.7% have tried to revive a dying person with no pulse. All the participants recognize the importance of knowing how to revive a dying adult or child as part of their job. The study showed that being a nurse was the most important predictor of a higher knowledge score in both components. Attending more resuscitation courses (3-6 courses in the last 3 years) ranked second in importance, and a longer experience in clinical practice (5-10 and >10 years) ranked third in predictive power. In addition, the direct observation of CPR drill performance revealed a satisfactory outcome. ConclusionThe level of CPR knowledge and skills practice among healthcare providers in PHCC is deemed satisfactory as most providers reported having performed CPR in the past. Considering that PHCC is the first step to people's healthcare in Qatar, clinical staff should be certified and assessed regularly to ensure retention of resuscitation knowledge and skills.",FRONTIERS IN CARDIOVASCULAR MEDICINE,2023,"Veettil, ST; Anodiyil, MS; Khudadad, H; Kalathingal, MA; Hamza, AH; Ummer, FP; Alnuaimi, AS",10.3389/fcvm.2023.1207918,,WOS:001040309800001,A
wos,WoS-queryA2.ris,JOUR,Whole Blood Selective Aortic Arch Perfusion for Exsanguination Cardiac Arrest: Assessing Myocardial Tolerance to the Duration of Cardiac Arrest,"Introduction: Selective aortic arch perfusion (SAAP) is an endovascular technique that consists of aortic occlusion with perfusion of the coronary and cerebral circulation. It been shown to facilitate return of spontaneous circulation (ROSC) after exanguination cardiac arrest (ECA), but it is not known how long arrest may last before the myocardium can no longer be durably recovered. The aim of this study is to assess the myocardial tolerance to exsanguination cardiac arrest before successful ROSC with SAAP. Methods: Male adult swine (n = 24) were anesthetized, instrumented, and hemorrhaged to arrest. Animals were randomized into three groups: 5, 10, and 15 min of cardiac arrest before resuscitation with SAAP. Following ROSC, animals were observed for 60 min in a critical care environment. Primary outcomes were ROSC, and survival at 1-h post-ROSC. Results: Shorter cardiac arrest time was associated with higher ROSC rate and better 1-h survival. ROSC was obtained for 100% (8/8) of the 5-min ECA group, 75% (6/8) of the 10-min group, 43% (3/7) of the 15-min group (P = 0.04). One-hour post-ROSC survival was 75%, 50%, and 14% in 5-, 10-, and 15-min groups, respectively (P = 0.02). One-hour survivors in the 5-min group required less norepinephrine (1.31 mg +/- 0.83 mg) compared with 10-SAAP (0.76 mg +/- 0.24 mg), P = 0.008. Conclusion: Whole blood SAAP can accomplish ROSC at high rates even after 10 min of unsupported cardiac arrest secondary to hemorrhage, with some viability beyond to 15 min. This is promising as a tool for ECA, but requires additional optimization and clinical trials. Animal Use Protocol, IACUC: 0919015.",SHOCK,2022,"Madurska, MJ; Abdou, H; Elansary, NN; Edwards, J; Patel, N; Stonko, DP; Richmond, MJ; Scalea, TM; Rasmussen, TE; Morrison, JJ",10.1097/SHK.0000000000001946,,WOS:000816691300009,A
wos,WoS-queryA2.ris,JOUR,Assessing student paramedics' measurements of fatigue and quality of cardiopulmonary resuscitation on a simulated cardiac arrest case,"Objective: The International Liaison Committee on Resuscitation (ILCOR) and the Australian Resuscitation Council (ARC) recommend that high-quality cardiopulmonary resuscitation (CPR) is the key to performance outcomes, emphasising compression and rotation through this process. The proposed study has a two-stage approach to evaluating cardiopulmonary resuscitations effectiveness by out-of-hospital practitioners. The first stage aimed to evaluate the influence of providing real-time biofeedback using the Q-CPR system on the provision of CPR by student paramedics. Secondly, the study quantified the effects of physical fatigue on maintaining quality cardiopulmonary resuscitation performed by paramedic students.Methods: Forty paramedic students completed cardiopulmonary resuscitation on an instrumented manikin with and without audio-visual biofeedback (Q-CPR within the Phillips MRx defibrillator) in a balanced cross-over fashion. To quantify the quality of cardiopulmonary resuscitation concerning the percentage of applied compressions that meet the current ARC guidelines in terms of rate, depth, and recoil time, a manikin feedback system (SimMan 3 G; Laerdal, Norwegian) was used.Results: When using the Q-CPR prompt with bio-feedback, overall, the depth and fatigue levels increased significantly, highlighting a correlation between correct depth and increased fatigue.Conclusions: Audio prompts improved compression depth; however, fatigue levels increased. The depth during manual compression compared to the Q-CPR prompt was not statistically significant.(c) 2022 College of Emergency Nursing Australasia. Published by Elsevier Ltd. All rights reserved.",AUSTRALASIAN EMERGENCY CARE,2023,"Weber, A; Delport, S; Delport, A",10.1016/j.auec.2022.12.002,,WOS:001078663600001,A
wos,WoS-queryA2.ris,JOUR,"Single-arm feasibility trial of a resilience intervention for cardiac arrest survivors and their family caregivers, Recovering Together after Cardiac Arrest","Background: Emotional distress is common in cardiac arrest (CA) survivors and their family caregivers and undermines long-term health and quality of life. To address this, we adapted a resilience intervention for survivors and their caregivers, entitled Recovering Together after Cardiac Arrest (RT-CA). Methods: We conducted a single-arm feasibility trial of RT-CA between 09/2024-03/2025. We enrolled dyads of consecutively admitted CA survivors at Massachusetts General Hospital and their primary family caregivers. Inclusion criteria: adult English speakers, survivors must have ability to meaningfully participate (Short Form Mini Mental State Exam >= 5), one dyad member must have emotional distress (>= 8 on either subscale of the Hospital Anxiety and Depression Scale [HADS]). Procedure: Dyads participated in six weekly sessions with a clinical psychologist focused on building mindfulness and coping skills. Feasibility outcomes were feasibility of recruitment, assessments, adherence; acceptability outcomes were satisfaction, credibility, expectancy. Dyads completed pre-and post-test psychosocial measures and participated in exit interviews. We calculated frequencies and proportions of our outcomes, conducted exploratory paired t-tests to examine initial signals of changes in psychosocial measures, and performed explanatory-sequential mixed methods to integrate data sources. Results: We screened 12 dyads and enrolled 7. RT-CA exceeded most feasibility and acceptability benchmarks (>70 % on 7 of 8). In exploratory analyses, participants experienced preliminary, yet meaningful reductions in emotional distress (HADS anxiety survivors: mean [95 % CI] = 5.4 [ 3.4, 7.5], p < 0.001; depression survivors = 5.1 [ 2.2, 8], p < 0.01; anxiety caregivers = 3.1 [ 0.8, 5.5], p < 0.05; depression caregivers = 3.5 [ 8, 1.1], p > 0.05). Mixed-methods analysis indicated general concordance between quantitative and qualitative data. Conclusion: Results support preliminary feasibility of RT-CA. Further testing in a randomized controlled trial is now required.",RESUSCITATION,2025,"Presciutti, AM; La Camera, D; Perman, SM; Elmer, J; Donnino, MW; Wu, OA; Parker, RA; Vranceanu, AM",10.1016/j.resuscitation.2025.110855,,WOS:001605970600001,A
wos,WoS-queryA2.ris,JOUR,Shorter Interval from Witnessed Out-Of-Hospital Cardiac Arrest to Reaching the Target Temperature Could Improve Neurological Outcomes After Extracorporeal Cardiopulmonary Resuscitation with Target Temperature Management: A Retrospective Analysis of a Japanese Nationwide Multicenter Observational Registry,"Extracorporeal cardiopulmonary resuscitation (ECPR) with extracorporeal membrane oxygenation is a more promising treatment for out-of-hospital cardiac arrest (OHCA) than conventional cardiopulmonary resuscitation (CCPR). However, previous studies that compared ECPR and CCPR included mixed groups of patients with or without target temperature management (TTM). In this study, we compared the neurological outcomes of OHCA between ECPR and CCPR with TTM in all patients. We performed retrospective subanalyses of the Japanese Association for Acute Medicine OHCA registry. Witnessed adult cases of cardiogenic OHCA treated with TTM were eligible for this study. We used univariate and multivariable analyses in all eligible patients to compare the neurological outcomes after ECPR or CCPR. We also conducted propensity score analyses of all patients and according to the interval from witnessed OHCA to reaching the target temperature (IWT) of <= 600, <= 480, <= 360, <= 240, and <= 120 minutes. We analyzed 1146 cases. The propensity score analysis did not show a significant difference in favorable neurological outcomes (defined as a Glasgow-Pittsburgh Cerebral Performance Category of 1-2 at 1 month after collapse) between EPCR and CCPR (odds ratio: OR 4.683 [95% confidence interval: CI 0.859-25.535], p = 0.747). However, ECPR was associated with more favorable neurological outcomes in patients with IWT of <= 600 minutes (OR 7.089 [95% CI 1.091-46.061], p = 0.406), <= 480 minutes (OR 10.492 [95% CI 1.534-71.773], p = 0.0168), <= 360 minutes (OR 17.573 [95% CI 2.486-124.233], p = 0.0042), <= 240 minutes (OR 38.908 [95% CI 5.045-300.089], p = 0.0005), and <= 120 minutes (OR 200.390 [95% CI 23.730-1692.211], p < 0.001). This study revealed significant differences in the neurological outcomes between ECPR and CCPR in patients with TTM whose IWT was <= 600 minutes.",THERAPEUTIC HYPOTHERMIA AND TEMPERATURE MANAGEMENT,2021,"Yamada, S; Kaneko, T; Kitada, M; Harada, M; Takahashi, T",10.1089/ther.2020.0045,,WOS:000595928800001,A
wos,WoS-queryA2.ris,JOUR,Fatal late cardiovascular sequelae of previously unrecognized Kawasaki disease in 12-year-old child,"BackgroundKawasaki disease (KD), previously termed mucocutaneous lymph node syndrome, is a childhood vasculitis affecting medium-sized arteries and is the leading cause of acquired heart disease in children. It primarily affects children under five years of age. If left untreated, KD can lead to serious cardiovascular complications, particularly coronary artery aneurysms (CAA) and thrombosis. Incomplete KD presents with fewer clinical criteria, making it more difficult to diagnose. Importantly, long-term sequelae such as CAA may remain clinically silent for years. This case highlights the critical need for awareness that even minimal or transient symptoms can be the only warning sign of life-threatening complications in adolescents with a remote history of incomplete or unrecognized KD.Case presentationWe describe a fatal case of a 12-year-old boy with a history of presumed myocarditis at age five, which retrospectively fulfilled criteria for incomplete KD but remained undiagnosed. From age five to twelve, he was asymptomatic except for occasional, brief chest tightness. At twelve, he presented with mild chest pain followed by rapid clinical deterioration, cardiac arrest, and death. Post-mortem imaging and autopsy revealed a thrombosed giant aneurysm of the left anterior descending coronary artery, consistent with chronic coronary disease.ConclusionThis case illustrates the potentially fatal long-term cardiovascular sequelae of unrecognized and untreated incomplete KD. Early recognition and treatment with IVIG are critical to reduce coronary complications. Healthcare providers must maintain clinical vigilance for patients with a history of KD. Even subtle or transient symptoms in patients with a history of KD should prompt immediate evaluation to prevent fatal outcomes.",INTERNATIONAL JOURNAL OF EMERGENCY MEDICINE,2025,"Fremuthová, T; Huml, M; Kotková, A; Sykora, J; Baxa, J; Hanácek, L; Fremuth, J",10.1186/s12245-025-01079-9,,WOS:001654500200001,A
wos,WoS-queryA2.ris,JOUR,Improvement in timing and effectiveness of external cardiac compressions with a new non-invasive device: the CPR-Ezy,"Prompt and effective cardiopulmonary resuscitation (CPR) is the first link in the chain of survival following cardiac arrest. We assessed a new device, the CPR-Ezy(TM) (Medteq Innovations Pty Ltd., Brisbane, Australia), to aid timing and effectiveness of external cardiac compressions (ECC), by 32 subjects who had prior community-based training in CPR. ECC was performed on a manikin for 4 min by all subjects without and with the device. There was a statistically significant improvement in timing of ECC. Effectiveness of compressions was also improved over the whole time period, especially so in the last minute. We conclude that the CPR-Ezy can improve timing and effectiveness of ECC, and reduce the effects of resuscitator fatigue, in community-trained subjects. (C) 2002 Elsevier Science Ireland Ltd. All rights reserved.",RESUSCITATION,2002,"Boyle, AJ; Wilson, AM; Connelly, K; McGuigan, L; Wilson, J; Whitbourn, R",10.1016/S0300-9572(02)00049-7,,WOS:000177207800008,A
