source_database,source_file,record_type,title,abstract,journal,year,authors,doi,pmid,accession_number,query_id
wos,WoS-queryA3.ris,JOUR,The effect of sodium thiosulfate on immune cell metabolism during porcine hemorrhage and resuscitation,"Introduction: Sodium thiosulfate (Na2S2O3), an H2S releasing agent, was shown to be organ-protective in experimental hemorrhage. Systemic inflammation activates immune cells, which in turn show cell type-specific metabolic plasticity with modifications of mitochondrial respiratory activity. Since H2S can dose-dependently stimulate or inhibit mitochondrial respiration, we investigated the effect of Na2S2O3 on immune cell metabolism in a blinded, randomized, controlled, long-term, porcine model of hemorrhage and resuscitation. For this purpose, we developed a Bayesian sampling-based model for C-13 isotope metabolic flux analysis (MFA) utilizing 1,2-C-13(2)-labeled glucose, C-13(6)-labeled glucose, and C-13(5)-labeled glutamine tracers.Methods: After 3 h of hemorrhage, anesthetized and surgically instrumented swine underwent resuscitation up to a maximum of 68 h. At 2 h of shock, animals randomly received vehicle or Na2S2O3 (25 mg/kg/h for 2 h, thereafter 100 mg/kg/h until 24 h after shock). At three time points (prior to shock, 24 h post shock and 64 h post shock) peripheral blood mononuclear cells (PBMCs) and granulocytes were isolated from whole blood, and cells were investigated regarding mitochondrial oxygen consumption (high resolution respirometry), reactive oxygen species production (electron spin resonance) and fluxes within the metabolic network (stable isotope-based MFA).Results: PBMCs showed significantly higher mitochondrial O-2 uptake and lower O-2(center dot-) production in comparison to granulocytes. We found that in response to Na2S2O3 administration, PBMCs but not granulocytes had an increased mitochondrial oxygen consumption combined with a transient reduction of the citrate synthase flux and an increase of acetyl-CoA channeled into other compartments, e.g., for lipid biogenesis.Conclusion: In a porcine model of hemorrhage and resuscitation, Na2S2O3 administration led to increased mitochondrial oxygen consumption combined with stimulation of lipid biogenesis in PBMCs. In contrast, granulocytes remained unaffected. Granulocytes, on the other hand, remained unaffected. O-2(center dot-) concentration in whole blood remained constant during shock and resuscitation, indicating a sufficient anti-oxidative capacity. Overall, our MFA model seems to be is a promising approach for investigating immunometabolism; especially when combined with complementary methods.",FRONTIERS IN IMMUNOLOGY,2023,"Wolfschmitt, EM; Hogg, M; Vogt, JA; Zink, F; Wachter, U; Hezel, F; Zhang, XM; Hoffmann, A; Gröger, M; Hartmann, C; Gässler, H; Datzmann, T; Merz, T; Hellmann, A; Kranz, C; Calzia, E; Radermacher, P; Messerer, DAC",10.3389/fimmu.2023.1125594,,WOS:000946223400001,A
wos,WoS-queryA3.ris,JOUR,"Physical Activity, Cardiorespiratory Fitness, and Atherosclerotic Cardiovascular Disease: Part 2","Background: In this second section of our 2-part review on the role of physical activity (PA) and cardiorespiratory fitness (CRF) in preventing and treating atherosclerotic cardiovascular disease (CVD), we expand on topics covered in part 1, including a comparison of moderate-intensity continuous training versus high-intensity interval training, the beneficial role of PA and CRF in heart failure, potential mal-adaptations that may result from extreme endurance exercise regimens, and the incidence of cardiac arrest and sudden cardiac death during marathon running and triathlon participation. Further, we review the principles of exercise prescription for patients with known or suspected CVD, with specific reference to exercise modalities, contemporary guidelines, the minimum exercise training intensity to promote survival benefits, and long-term goal training intensities, based on age-, sex-, and fitness-adjusted targets. Finally, we provide practical ""prescription pearls"" for the clinician, including a simple rule to estimate metabolic equivalents (METs) during level and graded treadmill walking, research-based exercise training recommendations, using steps per day, MET-minutes per week, and personal activity intelligence to achieve beneficial treatment outcomes, as well as the heart rate index equation to estimate energy expenditure, expressed as METs, during recreational and leisure-time PA. Summary: This review compares moderate-intensity continuous training and high-intensity interval training, examines the role of PA and CRF in managing heart failure, and discusses the cardiovascular risks associated with extreme endurance exercise. It also provides practical guidelines for exercise prescription tailored to patients with CVD, highlighting advanced exercise prescription strategies to optimize cardiovascular health. Key Messages: Physicians and healthcare providers should prioritize referring patients to home-based or medically supervised exercise programs to leverage the cardioprotective benefits of regular PA. For most inactive patients, an exercise prescription is essential for improving overall health.",PULSE,2024,"Franklin, BA; Jae, SY",10.1159/000541166,,WOS:001377339000001,A
wos,WoS-queryA3.ris,JOUR,Prolonged Deficits in Parvalbumin Neuron Stimulation-Evoked Network Activity Despite Recovery of Dendritic Structure and Excitability in the Somatosensory Cortex following Global Ischemia in Mice,"Relatively few studies have examined plasticity of inhibitory neuronal networks following stroke in vivo, primarily due to the inability to selectively monitor inhibition. We assessed the structure of parvalbumin (PV) interneurons during a 5 min period of global ischemia and reperfusion in mice, which mimicked cerebral ischemia during cardiac arrest or forms of transient ischemic attack. The dendritic structure of PV-neurons in cortical superficial layers was rapidly swollen and beaded during global ischemia, but recovered within 5-10 min following reperfusion. Using optogenetics and a multichannel optrode, we investigated the function of PV-neurons in mouse forelimb somatosensory cortex. We demonstrated pharmacologically that PV-channelrhodopsin-2 (ChR2) stimulation evoked activation in layer IV/V, which resulted in rapid current sinks mediated by photocurrent and action potentials (a measure of PV-neuron excitability), which was then followed by current sources mediated by network GABAergic synaptic activity. During ischemic depolarization, the PV-ChR2-evoked current sinks (excitability) were suppressed, but recovered rapidly following reperfusion concurrent with repolarization of the DC-EEG. In contrast, the current sources reflecting GABAergic synaptic network activity recovered slowly and incompletely, and was coincident with the partial recovery of the forepaw stimulation-evoked current sinks in layer IV/V 30 min post reperfusion. Our in vivo data suggest that the excitability of PV inhibitory neurons was suppressed during global ischemia and rapidly recovered during reperfusion. In contrast, PV-ChR2 stimulation-evoked GABAergic synaptic network activity exhibited a prolonged suppression even similar to 1 h after reperfusion, which could contribute to the dysfunction of sensation and cognition following transient global ischemia.",JOURNAL OF NEUROSCIENCE,2014,"Xie, YC; Chen, SB; Wu, YJ; Murphy, TH",10.1523/JNEUROSCI.1775-14.2014,,WOS:000345220300009,A
wos,WoS-queryA3.ris,JOUR,Helicopter rescue and prehospital care for drowning children: two summer season case studies,"Background. Drowning is the second leading cause of unintentional injury-related death in children <14 years of age and is one of the most important causes of accidental injury between the ages of 1 and 4 years. In this study, the characteristics of non-fatal unintentional drownings in a small series of pediatric victims were examined.",MINERVA ANESTESIOLOGICA,2008,"Barbieri, S; Feltracco, P; Delantone, M; Spagna, A; Michieletto, E; Bortolato, A; Ori, C",,,WOS:000261380000005,A
wos,WoS-queryA3.ris,JOUR,Metabolic acidosis in restraint-associated cardiac arrest: A case series,The mechanism of death in patients struggling against restraints remains a topic of debate. This article presents a series of five patients with restraint-associated cardiac arrest and profound metabolic acidosis. The lowest recorded pH was 6.25; this patient and three others died despite aggressive resuscitation. The survivor's pH was 6.46; this patient subsequently made a good recovery. Struggling against restraints may produce a lactic acidosis. Stimulant drugs such as cocaine may promote further metabolic acidosis and impair normal behavioral regulatory responses. Restrictive positioning of combative patients may impede appropriate respiratory compensation for this acidemia. Public safety personnel and emergency providers must be aware of the life threat to combative patients and be careful with restraint techniques. Further investigation of sedative agents and buffering therapy for this select patient group is suggested.,ACADEMIC EMERGENCY MEDICINE,1999,"Hick, JL; Smith, SW; Lynch, MT",10.1111/j.1553-2712.1999.tb00164.x,,WOS:000079862700015,A
wos,WoS-queryA3.ris,JOUR,Outcomes of Infants Born at 21 Weeks' Gestational Age,"QuestionWhat are the outcomes of infants born alive at 21 weeks' gestational age in a center that attempts resuscitation in selected cases?FindingsIn this case series of 22 infants born alive at 21 weeks' gestational age, resuscitation was attempted in 17 infants during the study period. Of these, 6 (35%) survived to discharge, and none required tracheostomy or neurosurgical intervention.MeaningThese findings suggest that some infants born at 21 weeks' gestational age can survive, some with minimal morbidities, and that prospective study and outcome reporting may be warranted in this population.",JAMA NETWORK OPEN,2025,"Hyland, RM; Mat, HD; Boly, TJ; Thomas, BJ; Stanford, AH; Harmon, HM; Bermick, JR; Davila, RC; Colaizy, TT; Dagle, JM; Klein, JM; Greiner, AL; Bell, EF; McNamara, PJ",10.1001/jamanetworkopen.2025.48211,,WOS:001637999900001,A
wos,WoS-queryA3.ris,JOUR,Combined sonographic optic nerve sheath diameter and cerebral oximeter for predicting neurological outcome after cardiac arrest,"Cardiac arrest (CA) remains a critical global health issue with high rates of mortality and morbidity. Accurate prediction of neurological outcomes in post-CA patients is essential for optimizing management strategies. Optic nerve sheath diameter (ONSD) and near-infrared spectroscopy (NIRS) are emerging as promising tools for evaluating brain oxygenation and intracranial pressure (ICP). However, the potential benefits of combining these methods for improved prognostic accuracy have not been thoroughly explored. This study investigates whether the combined use of ultrasonographic ONSD and NIRS measurements enhances the prediction of neurological outcomes after CA. In this prospective study, ONSD measurements were obtained three times at 24-h intervals, while regional hemoglobin oxygen saturation (rSO2) using NIRS was recorded twice. Neurological outcomes were assessed using the Full Outline of Unresponsiveness (FOUR) and Cerebral Performance Categories (CPC) scores for both early and late evaluations. Results indicated that 47.5% of patients had poor outcomes and 52.5% had good outcomes based on the FOUR score, while 65% had poor outcomes and 35% had good outcomes according to the CPC score. The combination of ONSD and NIRS measurements showed superior prognostic performance compared to either method alone. While standalone NIRS measurements taken after 24 h exhibited limited predictive value, combining ONSD and NIRS provided a more reliable approach for neurological assessment in the short term following CA. This integrated method may improve prognostic accuracy and support better clinical decision making.",BIOMOLECULES AND BIOMEDICINE,2025,"Yazar, MA; Kozanhan, B; Tire, Y; Sekmenli, N; Yazar, G; Sevim, M",10.17305/bb.2024.11442,,WOS:001365994200001,A
wos,WoS-queryA3.ris,JOUR,Multi-Modality Imaging for Accurate Valvular Lesion Diagnosis: A Case Report of Catastrophic Outcomes From Unrecognized Severe Aortic Regurgitation,"Aortic regurgitation (AR) can be difficult to accurately quantify on echocardiography alone, potentially leading to erroneous grading. A 52-year-old male presented following resuscitation after an out-of-hospital cardiac arrest. He had been followed in the cardiology outpatient clinic for a number of years for monitoring of bicuspid aortic valve and associated AR. Regular transthoracic echocardiography and one transesophageal echocardiogram had shown moderate range AR. Cardiac magnetic resonance imaging reported the AR as severe with associated severely dilated left ventricle. Echocardiography grading and the patient's lack of symptoms supported a strategy of active surveillance. The presentation with cardiac arrest prompted re-evaluation of the severity of this patient's AR. Repeat cardiac magnetic resonance imaging re-affirmed severe AR, and the patient proceeded to surgical aortic valve replacement with a bioprosthetic valve. Post-operatively, the patient had heart failure with severely reduced ejection fraction. During hospital stay, he developed thyrotoxicosis secondary to amiodarone. This case demonstrates the discrepancy in assessing severity between different imaging techniques and highlights the potential complications in delayed intervention in AR.",JOURNAL OF MEDICAL CASES,2025,"Nolan, P; Aodhabhui, BN; O'Hanlon, R; MacNeill, B",10.14740/jmc5177,,WOS:001636367400004,A
wos,WoS-queryA3.ris,JOUR,Out-of-hospital cardiac arrest in children with bacterial tracheitis,Bacterial tracheitis is a severe cause of acute infectious upper-airway obstruction. Its characteristics include thick purulent secretions with or without plaques or pseudomembrane formation. Fatal complications are infrequent if an appropriate treatment is conducted.,ARCHIVES DE PEDIATRIE,2008,"Labourel, H; Emeriaud, G; Ladwig, M; Koch, FX; Menthonnex, E",10.1016/j.arcped.2007.12.005,,WOS:000255259300008,A
wos,WoS-queryA3.ris,JOUR,Balloon arterioplasty of recurrent coarctation after the modified Norwood procedure in infants,"Coarctation of Be reconstructed aorta after the modified Norwood procedure for hypoplastic left heart syndrome is a relatively common occurrence that can have significant adverse effects. From 1992-98, 65 infants with hypoplastic left heart syndrome or variants thereof underwent a modified Norwood procedure. Of the 50 survivors of Stage I palliation, 10 (20%) were subsequently diagnosed with clinically significant obstruction of the aortic arch at a median age of 5.1 months. Eight of these patients underwent coarctation balloon arterioplasty. All 8 patients underwent successful dilation of the coarctation, with a decrease in the pressure gradient from 43 +/- 20 to 4 +/- 5 mmHg and an increase in aortic diameter at the site of obstruction from 3.5 +/- 0.5 to 7.0 +/- 1.0 mm (both P < 0.001). There was also a significant increase in lower extremity systolic blood pressure. Although there was no immediate increase in cardiac output after dilation in most patients, ventricular function was improved in 3 patients within 24-48 hr of the procedure and in all but 2 at the most recent follow-up (median 2 years). Two patients developed bradycardia during wire placement that required cardiopulmonary resuscitation. Two others died suddenly during the follow-up period. All surviving patients have undergone subsequent palliative procedures; none have required repeat intervention for arch obstruction. We found a 20% incidence of coarctation in survivors of the modified Norwood procedure. Balloon arterioplasty is effective in relieving this obstruction, and should be carried out promptly upon diagnosis to minimize its deleterious effects on ventricular function. Balloon dilation, however, should be considered a high-risk procedure in these fragile infants, and special attention must be given to cardiovascular support. (C) 2000 Wiley-Liss, Inc.",CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,2000,"Tworetzky, W; McElhinney, DB; Burch, GH; Teitel, DF; Moore, P",10.1002/(SICI)1522-726X(200005)50:1<54::AID-CCD11>3.0.CO;2-9,,WOS:000086767600011,A
